47,sh000052,50基本,2430.4407,2.480,0.102,2427.9608,2420.2317,2431.0111,2397.8845,16073065,30371727541
48,sh000053,180基本,9759.1619,38.394,0.395,9720.7681,9700.6182,9761.9602,9620.1125,44753207,66135695287
49,sh000054,上证海外,1125.9268,-0.060,-0.005,1125.9871,1121.8707,1126.2966,1109.4587,20237364,23181750385
50,sh000055,上证地企,1271.0461,-5.053,-0.396,1276.0993,1271.9450,1272.4778,1258.6080,9575451,17839812416
51,sh000056,上证国企,1063.6671,2.564,0.242,1061.1026,1059.1968,1063.9619,1050.0324,33709305,38077403309
52,sh000057,全指成长,4054.2767,8.391,0.207,4045.8857,4043.8522,4056.3738,4001.6524,13503723,36417938817
53,sh000058,全指价值,3664.0113,18.734,0.514,3645.2769,3638.8195,3664.7532,3610.5742,39031902,31031046821
54,sh000059,全R成长,3116.5355,11.012,0.355,3105.5235,3103.4105,3117.9353,3076.7094,48631417,82581847561
55,sh000060,全R价值,3408.6885,17.232,0.508,3391.4568,3384.6866,3409.3961,3362.4437,74159596,77194955565
56,sh000061,沪企债30,165.6595,0.051,0.031,165.6086,165.6595,165.6595,165.6595,0,0
57,sh000062,上证沪企,1616.2790,-3.881,-0.240,1620.1597,1616.3942,1617.0787,1602.1850,6593108,10426562789
58,sh000063,上证周期,2781.2382,-2.359,-0.085,2783.5970,2772.3235,2781.9103,2744.3666,18140319,19615590056
59,sh000064,非周期,3327.8679,14.005,0.423,3313.8628,3312.4509,3329.6132,3280.7912,21264106,40830263730
60,sh000065,上证龙头,3115.9584,15.625,0.504,3100.3335,3094.4723,3116.4062,3081.0102,29860225,41142570018
61,sh000066,上证商品,2531.3359,17.746,0.706,2513.5900,2509.0891,2532.3838,2499.0096,10183847,10192551383
62,sh000067,上证新兴,7148.4882,63.542,0.897,7084.9460,7080.9055,7149.1709,7039.2145,6530896,20654245860
63,sh000068,上证资源,2534.2935,19.638,0.781,2514.6552,2511.9765,2535.6521,2501.1534,9161971,9745943907
64,sh000069,消费80,5868.9295,-25.068,-0.425,5893.9971,5895.4840,5912.5280,5816.5137,5963157,24800008100
65,sh000070,能源等权,2629.5851,18.702,0.716,2610.8835,2607.1116,2630.7580,2598.3734,5376731,4095413294
66,sh000071,材料等权,3296.2849,19.944,0.609,3276.3408,3273.8946,3297.6279,3252.7834,7326119,8966933378
67,sh000072,工业等权,3190.5772,18.779,0.592,3171.7985,3171.2022,3190.9175,3143.7102,10733214,15792346240
68,sh000073,可选等权,3230.1431,2.386,0.074,3227.7575,3230.1885,3235.1054,3198.0125,3494658,7566679993
69,sh000074,消费等权,10105.7685,-210.151,-2.037,10315.9194,10308.6191,10338.8402,10049.5178,1577011,9954500942
70,sh000075,医药等权,8721.7605,102.993,1.195,8618.7674,8660.8456,8750.0832,8633.4193,3496331,11338723071
71,sh000076,金融等权,3890.4108,-18.742,-0.479,3909.1532,3895.5588,3895.5588,3842.9780,11329988,11258320869
72,sh000077,信息等权,3815.4260,56.153,1.494,3759.2725,3758.0293,3818.0587,3740.8868,2438388,9608103991
73,sh000078,电信等权,2270.3822,95.853,4.408,2174.5293,2170.4816,2271.7839,2169.7668,10966873,10444240366
74,sh000079,公用等权,2237.3147,39.493,1.797,2197.8215,2200.4200,2238.2931,2197.5310,8013182,5071332911
75,sh000090,上证流通,1183.4080,7.380,0.628,1176.0276,1174.9779,1183.6267,1169.5092,155370824,179130578304
76,sh000091,沪财中小,10748.1837,139.142,1.312,10609.0419,10620.4887,10748.9383,10595.2530,12047641,14214754171
77,sh000092,资源50,3240.4957,16.906,0.524,3223.5899,3219.6656,3241.4434,3203.0341,9267636,10739235828
78,sh000093,180分层,11110.0522,85.855,0.779,11024.1975,11020.6350,11112.3581,10978.1634,44753207,66135695287
79,sh000094,上证上游,2684.7586,20.204,0.758,2664.5543,2661.0823,2686.4188,2649.7944,8632237,9528107239
80,sh000095,上证中游,2966.1720,26.893,0.915,2939.2793,2935.1173,2966.5731,2919.8775,22410995,32556393854
81,sh000096,上证下游,4907.0537,18.490,0.378,4888.5637,4893.4028,4909.6702,4846.7911,20976783,40348514306
82,sh000097,高端装备,8693.1005,95.177,1.107,8597.9233,8588.6017,8694.1262,8550.1192,5948504,15234642152
83,sh000098,上证F200,4246.2922,24.291,0.575,4222.0008,4215.2315,4247.3341,4185.0276,53427182,53053945494
84,sh000099,上证F300,7481.3539,57.988,0.781,7423.3660,7422.2136,7481.3539,7407.4483,31278120,35869234123
85,sh000100,上证F500,4833.6043,29.183,0.607,4804.4215,4797.8022,4834.5361,4767.8150,84705302,88923179617
86,sh000101,5年信用,225.3682,0.085,0.038,225.2830,225.3630,225.3682,225.3630,13700,13746992
87,sh000102,沪投资品,6107.3054,50.151,0.828,6057.1546,6049.5216,6110.4250,5999.8218,8593555,15249287723
88,sh000103,沪消费品,10951.5112,-30.507,-0.278,10982.0185,11023.0023,11079.8398,10872.4467,5047679,18027331069
89,sh000104,380能源,1604.2876,12.016,0.755,1592.2717,1591.6785,1606.0881,1580.8459,1704411,1522953799
90,sh000105,380材料,4650.5494,42.550,0.923,4607.9994,4602.9568,4652.6045,4580.4881,3034704,4168843058
91,sh000106,380工业,5363.9824,58.952,1.111,5305.0301,5302.1900,5363.9824,5287.8354,7633274,9156181854
92,sh000107,380可选,5394.9099,5.407,0.100,5389.5031,5392.8357,5404.7704,5350.8945,1232748,3131428019
93,sh000108,380消费,14944.6888,-197.496,-1.304,15142.1848,15160.8458,15257.2662,14893.4170,917079,2170548990
94,sh000109,380医药,12403.7059,274.845,2.266,12128.8605,12173.5898,12421.8685,12173.5898,2654455,6417915751
95,sh000110,380金融,2689.3483,-2.915,-0.108,2692.2632,2690.8419,2694.8626,2665.1440,2494835,1314273047
96,sh000111,380信息,6917.8459,134.217,1.979,6783.6289,6783.2792,6918.2118,6746.7695,1478232,5377545080
97,sh000112,380电信,4250.0815,142.256,3.463,4107.8260,4102.4477,4252.5717,4097.5230,2082342,3646749221
98,sh000113,380公用,2392.2846,45.736,1.949,2346.5488,2351.0025,2393.5839,2345.9424,2450905,2054510439
99,sh000114,持续产业,1536.2931,12.877,0.845,1523.4161,1520.6199,1537.4050,1511.1529,7088231,7905516812
100,sh000115,380等权,7479.6303,84.806,1.147,7394.8239,7398.1757,7480.2859,7382.4121,27480554,40876020352
101,sh000116,信用100,185.3097,0.157,0.085,185.1524,185.2259,185.3178,185.2259,102899,96246125
102,sh000117,380成长,4908.3041,67.273,1.390,4841.0311,4839.7884,4909.3790,4822.7740,4656815,10469323043
103,sh000118,380价值,8030.8947,64.734,0.813,7966.1606,7974.4534,8033.7673,7954.9308,11234157,9330828243
104,sh000119,380R成长,4366.5922,55.346,1.284,4311.2463,4310.3144,4367.1065,4295.8910,18329673,33850565062
105,sh000120,380R价值,7330.3327,74.806,1.031,7255.5268,7260.0086,7332.0896,7247.2044,24907016,32712070262
106,sh000121,医药主题,10421.1568,154.503,1.505,10266.6538,10329.1320,10450.2810,10308.5799,5074541,12302045261
107,sh000122,农业主题,1830.2446,0.807,0.044,1829.4374,1828.0728,1830.8508,1811.5845,4316428,4727244289
108,sh000123,180动态,6389.5071,43.410,0.684,6346.0975,6339.9670,6390.3256,6296.5810,15454473,32249023494
109,sh000125,180稳定,10000.3001,-1.077,-0.011,10001.3769,9979.3296,10006.1992,9879.1633,29298735,33886671793
110,sh000126,消费50,10133.2112,-108.184,-1.056,10241.3957,10231.7582,10239.0895,10047.4758,2973977,14970684632
